colony	treatment	tag	age	status	alive_at_sampling_time	measured_load_ng_per_uL	above_detection_threshold	REP_treat
colony08BP	pathogen.big	36	NA	untreated	TRUE	0.003968149263978	TRUE	R8BP
colony12BP	pathogen.big	34	NA	untreated	TRUE	0.005368587056734	TRUE	R12BP
colony08BP	pathogen.big	37	NA	untreated	TRUE	0.007895142990336	TRUE	R8BP
colony12BP	pathogen.big	35	NA	untreated	TRUE	0.000803901797995	TRUE	R12BP
colony08BP	pathogen.big	38	NA	untreated	TRUE	0.001315368689871	TRUE	R8BP
colony12BP	pathogen.big	36	NA	treated	TRUE	1.48690766415711	TRUE	R12BP
colony08BP	pathogen.big	39	NA	untreated	TRUE	0.007761532851107	TRUE	R8BP
colony12BP	pathogen.big	37	NA	untreated	TRUE	0.006347343474862	TRUE	R12BP
colony01SP	pathogen.small	7	NA	untreated	TRUE	0.036062804705483	TRUE	R1SP
colony12BP	pathogen.big	38	NA	untreated	TRUE	0.002273824805721	TRUE	R12BP
colony03BP	pathogen.big	30	NA	untreated	TRUE	0.107192401300464	TRUE	R3BP
colony08BP	pathogen.big	40	NA	untreated	TRUE	0.004970499105762	TRUE	R8BP
colony12BP	pathogen.big	39	NA	untreated	TRUE	0.00249000947684	TRUE	R12BP
colony03BP	pathogen.big	31	NA	untreated	TRUE	0.000566178013089	TRUE	R3BP
colony08BP	pathogen.big	41	NA	untreated	TRUE	0.005926932756272	TRUE	R8BP
colony12BP	pathogen.big	40	NA	untreated	TRUE	0.00197038231103	TRUE	R12BP
colony12BP	pathogen.big	40	NA	untreated	TRUE	0.002636935457568	TRUE	R12BP
colony03BP	pathogen.big	32	NA	untreated	TRUE	0.001558748325708	TRUE	R3BP
colony08BP	pathogen.big	42	NA	untreated	TRUE	0.073606302133799	TRUE	R8BP
colony03BP	pathogen.big	33	NA	untreated	TRUE	0.054708272316	TRUE	R3BP
colony08BP	pathogen.big	43	NA	untreated	TRUE	0.026189909638067	TRUE	R8BP
colony12BP	pathogen.big	41	NA	untreated	TRUE	0.006061303075244	TRUE	R12BP
colony03BP	pathogen.big	34	NA	untreated	TRUE	0.003675504848664	TRUE	R3BP
colony12BP	pathogen.big	42	NA	untreated	TRUE	0.009912061774259	TRUE	R12BP
colony03BP	pathogen.big	35	NA	treated	TRUE	5.24628645472454	TRUE	R3BP
colony08BP	pathogen.big	44	NA	untreated	TRUE	0.015050554475135	TRUE	R8BP
colony12BP	pathogen.big	43	NA	untreated	TRUE	0.099761966193711	TRUE	R12BP
colony03BP	pathogen.big	36	NA	untreated	TRUE	0.00142683580834	TRUE	R3BP
colony08BP	pathogen.big	45	NA	untreated	TRUE	0.006597904117924	TRUE	R8BP
colony03BP	pathogen.big	37	NA	untreated	TRUE	0.003635373189372	TRUE	R3BP
colony08BP	pathogen.big	46	NA	untreated	TRUE	0.012704278333791	TRUE	R8BP
colony01SP	pathogen.small	8	NA	untreated	TRUE	0.011474122970677	TRUE	R1SP
colony08BP	pathogen.big	47	NA	untreated	TRUE	0.094727265353746	TRUE	R8BP
colony12BP	pathogen.big	45	NA	untreated	TRUE	0.876461815320746	TRUE	R12BP
colony03BP	pathogen.big	39	NA	untreated	TRUE	0.001284064974901	TRUE	R3BP
colony08BP	pathogen.big	49	NA	untreated	TRUE	0.000488790211329	TRUE	R8BP
colony12BP	pathogen.big	46	NA	untreated	TRUE	0.004724762688429	TRUE	R12BP
colony03BP	pathogen.big	40	NA	untreated	TRUE	0.001793944487738	TRUE	R3BP
colony08BP	pathogen.big	50	NA	untreated	TRUE	0.005394708713679	TRUE	R8BP
colony03BP	pathogen.big	41	NA	untreated	TRUE	0.110135163281959	TRUE	R3BP
colony08BP	pathogen.big	51	NA	untreated	TRUE	0.079890474388369	TRUE	R8BP
colony12BP	pathogen.big	47	NA	untreated	TRUE	0.004641581708516	TRUE	R12BP
colony03BP	pathogen.big	42	NA	untreated	TRUE	0.01135910201713	TRUE	R3BP
colony03BP	pathogen.big	43	NA	untreated	TRUE	0.01135910201713	TRUE	R3BP
colony12BP	pathogen.big	48	NA	untreated	TRUE	0.002939848835924	TRUE	R12BP
colony03BP	pathogen.big	44	NA	untreated	TRUE	0.001488942752036	TRUE	R3BP
colony03BP	pathogen.big	45	NA	untreated	TRUE	0.01072099269264	TRUE	R3BP
colony03BP	pathogen.big	46	NA	untreated	TRUE	0.037291512655141	TRUE	R3BP
colony03BP	pathogen.big	47	NA	untreated	TRUE	0.002741309051019	TRUE	R3BP
colony03BP	pathogen.big	48	NA	untreated	TRUE	0.046749395549995	TRUE	R3BP
colony03BP	pathogen.big	49	NA	untreated	TRUE	0.003350433481459	TRUE	R3BP
colony03BP	pathogen.big	50	NA	untreated	TRUE	0.006162912475392	TRUE	R3BP
colony03BP	pathogen.big	51	NA	untreated	TRUE	0.011129662632544	TRUE	R3BP
colony05SP	pathogen.small	7	NA	untreated	TRUE	0.0058457669825	TRUE	R5SP
colony03BP	pathogen.big	52	NA	untreated	TRUE	0.008164808441493	TRUE	R3BP
colony05SP	pathogen.small	8	NA	untreated	TRUE	0.003447565293209	TRUE	R5SP
colony03BP	pathogen.big	53	NA	untreated	TRUE	0.000799096079592	TRUE	R3BP
colony02SP	pathogen.small	8	NA	untreated	TRUE	0.038800203196632	TRUE	R2SP
colony03BP	pathogen.big	54	NA	untreated	TRUE	0.000546616830975	TRUE	R3BP
colony02SP	pathogen.small	9	NA	untreated	TRUE	0.174141387319711	TRUE	R2SP
colony05BP	pathogen.big	29	NA	untreated	TRUE	0.001922095668425	TRUE	R5BP
colony02SP	pathogen.small	10	NA	untreated	TRUE	0.00265600874116	TRUE	R2SP
colony05BP	pathogen.big	30	NA	untreated	TRUE	0.333691389224106	TRUE	R5BP
colony05BP	pathogen.big	31	NA	untreated	TRUE	0.00334218126199	TRUE	R5BP
colony05BP	pathogen.big	32	NA	untreated	TRUE	0.088285625841466	TRUE	R5BP
colony05BP	pathogen.big	33	NA	untreated	TRUE	0.005239924144658	TRUE	R5BP
colony05BP	pathogen.big	34	NA	treated	TRUE	3.11438285585618	TRUE	R5BP
colony07BP	pathogen.big	38	NA	untreated	TRUE	0.001394625173129	TRUE	R7BP
colony07BP	pathogen.big	38	NA	untreated	TRUE	0.001389907825157	TRUE	R7BP
colony07SP	pathogen.small	6	NA	untreated	TRUE	0.001093430037055	TRUE	R7SP
colony05BP	pathogen.big	35	NA	untreated	TRUE	0.343550037276855	TRUE	R5BP
colony07BP	pathogen.big	39	NA	untreated	TRUE	0.005009680165955	TRUE	R7BP
colony07SP	pathogen.small	7	NA	untreated	TRUE	0.000632663821062	TRUE	R7SP
colony05BP	pathogen.big	36	NA	treated	TRUE	7.71969247610251	TRUE	R5BP
colony07BP	pathogen.big	40	NA	untreated	TRUE	0.002858939730083	TRUE	R7BP
colony05BP	pathogen.big	37	NA	treated	TRUE	0.000001	FALSE	R5BP
colony05BP	pathogen.big	37	NA	treated	TRUE	5.72421582536444	TRUE	R5BP
colony07BP	pathogen.big	41	NA	untreated	TRUE	0.007191715522639	TRUE	R7BP
colony05BP	pathogen.big	38	NA	untreated	TRUE	0.272163574389786	TRUE	R5BP
colony07BP	pathogen.big	42	NA	untreated	TRUE	0.11684765472619	TRUE	R7BP
colony05BP	pathogen.big	39	NA	untreated	TRUE	0.001372950880692	TRUE	R5BP
colony07BP	pathogen.big	43	NA	treated	TRUE	0.256862082938287	TRUE	R7BP
colony05BP	pathogen.big	40	NA	treated	TRUE	6.54553274764393	TRUE	R5BP
colony05BP	pathogen.big	41	NA	untreated	TRUE	0.051434556566814	TRUE	R5BP
colony07BP	pathogen.big	45	NA	untreated	TRUE	0.000513914652183	TRUE	R7BP
colony05BP	pathogen.big	42	NA	untreated	TRUE	0.983139171119365	TRUE	R5BP
colony07BP	pathogen.big	46	NA	untreated	TRUE	0.00218400435482	TRUE	R7BP
colony05BP	pathogen.big	43	NA	untreated	TRUE	0.012269871091233	TRUE	R5BP
colony07BP	pathogen.big	47	NA	untreated	TRUE	0.002792109845252	TRUE	R7BP
colony05BP	pathogen.big	44	NA	untreated	TRUE	0.17191746552886	TRUE	R5BP
colony07BP	pathogen.big	48	NA	treated	TRUE	4.79361885587572	TRUE	R7BP
colony05BP	pathogen.big	45	NA	treated	TRUE	4.70581662826314	TRUE	R5BP
colony07BP	pathogen.big	49	NA	treated	TRUE	1.47746091225851	TRUE	R7BP
colony05BP	pathogen.big	46	NA	untreated	TRUE	1.62852713760959	TRUE	R5BP
colony07BP	pathogen.big	50	NA	untreated	TRUE	0.151867379787249	TRUE	R7BP
colony05BP	pathogen.big	47	NA	untreated	TRUE	0.198858884999893	TRUE	R5BP
colony07BP	pathogen.big	51	NA	untreated	TRUE	0.001873990996458	TRUE	R7BP
colony05BP	pathogen.big	48	NA	untreated	TRUE	0.063677352714963	TRUE	R5BP
colony07BP	pathogen.big	52	NA	untreated	TRUE	0.000586884311262	TRUE	R7BP
colony05BP	pathogen.big	49	NA	untreated	TRUE	0.009319980420819	TRUE	R5BP
colony07BP	pathogen.big	53	NA	untreated	TRUE	0.000810993736382	TRUE	R7BP
colony07BP	pathogen.big	53	NA	untreated	TRUE	0.001226141240776	TRUE	R7BP
colony05BP	pathogen.big	50	NA	untreated	TRUE	0.007700519057411	TRUE	R5BP
colony07BP	pathogen.big	54	NA	treated	TRUE	3.35290308180219	TRUE	R7BP
colony05BP	pathogen.big	51	NA	untreated	TRUE	0.005291027271275	TRUE	R5BP
colony07BP	pathogen.big	55	NA	untreated	TRUE	0.109156600039484	TRUE	R7BP
colony12BP	pathogen.big	49	NA	untreated	TRUE	0.010136149326946	TRUE	R12BP
colony05BP	pathogen.big	52	NA	untreated	TRUE	0.0306517306099	TRUE	R5BP
colony08BP	pathogen.big	52	NA	untreated	TRUE	0.008776422052266	TRUE	R8BP
colony12BP	pathogen.big	50	NA	untreated	TRUE	0.003394220092572	TRUE	R12BP
colony05BP	pathogen.big	53	NA	untreated	TRUE	0.006179879400867	TRUE	R5BP
colony08BP	pathogen.big	53	NA	untreated	TRUE	0.00044832194732	TRUE	R8BP
colony12BP	pathogen.big	51	NA	untreated	TRUE	0.009358322339069	TRUE	R12BP
